var;formula;mod;fr;PENDOVAR
CRED_BRUTO;CRED_LIQ+ATIV_PROV;INTER;;
CL_PL;CRED_LIQ / PL;MOD;QA_QCC;PQCC*0.9
CL_ATIV;CRED_LIQ*100 / ATIV_TOTAL;MOD;;
PROV_EXIG;(TC_A*0.5+TC_B*1+TC_C*3+TC_D*10+TC_E*30+TC_F*50+TC_G*70+TC_H*100)/100;MOD;;
PROV_EFET_EXIG;ifelse(TC<=0 | PROV_EXIG<=0,NA,ATIV_PROV / PROV_EXIG);MOD;QA_QCC;PQCC*0.9
TVMD_ATIV;(ATIV_TVM+ATIV_DERIV)*100 / ATIV_TOTAL;MOD;;
TVMD_PL;(ATIV_TVM+ATIV_DERIV) / PL;MOD;QA_QTVM;PQCT*0.9
DIFERIDO_PL;ATIV_DIFERIDO*100 / PL;MOD;QA;
DPI;PAS_DEP_DI + PAS_DEP_PRAZO;;;
PAS_EXT;(PAS_TIT_EXT+PAS_EMP_EXT+PAS_REP_EXT);MOD;QF;
CAPA;((PAS_DEP_VISTA + PAS_DEP_POUP)*10 + PAS_EXT*30 + (PAS_DEP_PRAZO+PAS_TIT_CAMB+PAS_TIT_IMOB)*50 + PAS_DEP_DI*90 + PL*0.1)/100;;;
AFL_DPI;ifelse(DPI==0,100,AFL*100 / (PAS_DEP_DI + PAS_DEP_PRAZO));MOD;LIQ;
AFL_CAPA;ifelse(CAPA<=0,100,AFL*100 / CAPA);MOD;LIQ;
AFL_ATIVexIF;AFL*100 / (ATIV_TOTAL - PAS_OBRIG_COMP);MOD;LIQ;
PB_F;(RES_LIF_T50 - DESP_PROV_T50 + REC_SERV_T50 + REC_TARIFAS_T50)*1000;MOD;EF;
DPA_PB;ifelse(PB_F<=0,NA,(-1)*(DESP_PESSSOAL_T50 + DESP_ADM_T50)*100 / (PB_F/1000));MOD;EF;
DPA_PLCDI;(-1)*(DESP_PESSSOAL_T50 + DESP_ADM_T50)*100 / (PL_RES_T50*CDI/100);MOD;EF;
TIT_ELEG_FGC;PAS_DEP_VISTA+PAS_DEP_POUP+PAS_DEP_PRAZO+PAS_TIT_CAMB+PAS_TIT_IMOB-TIT_LF_T50*1000;;;
CAPTACAO;PAS_DEP+PAS_TIT - PAS_TIT_DEB + PAS_EMP_REPASSE;INTER;;
DAV_CAPPL;ifelse(PAS_DEP_VISTA==0,NA,(PAS_DEP_VISTA+PAS_DEP_POUP)*100 / (CAPTACAO+PL));MOD;QF;
DP_CAPPL;ifelse(PAS_DEP_PRAZO==0,NA,(PAS_DEP_PRAZO)*100 / (CAPTACAO+PL));MOD;QF;
DI_CAPPL;ifelse(PAS_DEP_DI==0,NA,(PAS_DEP_DI)*100 / (CAPTACAO+PL));MOD;QF;
EXT_CAPPL;ifelse(PAS_EXT==0,NA,PAS_EXT*100 / (CAPTACAO + PL));MOD;QF;
